set_num,name,year,theme_id,num_parts,set_img_url,set_url
60035-1,Arctic Outpost,2014,65,374,https://cdn.rebrickable.com/media/sets/60035-1/417.jpg,https://rebrickable.com/sets/60035-1/arctic-outpost/
79115-1,Turtle Van Takedown,2014,570,368,https://cdn.rebrickable.com/media/sets/79115-1/40108.jpg,https://rebrickable.com/sets/79115-1/turtle-van-takedown/
76016-1,Spider-Helicopter Rescue,2014,706,300,https://cdn.rebrickable.com/media/sets/76016-1/13206.jpg,https://rebrickable.com/sets/76016-1/spider-helicopter-rescue/
70807-1,MetalBeard's Duel,2014,578,412,https://cdn.rebrickable.com/media/sets/70807-1/589.jpg,https://rebrickable.com/sets/70807-1/metalbeards-duel/
10681-1,Creative Building Cube,2014,35,600,https://cdn.rebrickable.com/media/sets/10681-1/7825.jpg,https://rebrickable.com/sets/10681-1/creative-building-cube/
21109-1,Exo-Suit,2014,576,321,https://cdn.rebrickable.com/media/sets/21109-1/13441.jpg,https://rebrickable.com/sets/21109-1/exo-suit/
60047-1,Police Station,2014,61,854,https://cdn.rebrickable.com/media/sets/60047-1/3836.jpg,https://rebrickable.com/sets/60047-1/police-station/
60049-1,Helicopter Transporter,2014,61,382,https://cdn.rebrickable.com/media/sets/60049-1/5092.jpg,https://rebrickable.com/sets/60049-1/helicopter-transporter/
4000014-3,The LEGOLAND Train (LEGOLAND Ambassador Pass Version),2014,425,546,https://cdn.rebrickable.com/media/sets/4000014-3/17390.jpg,https://rebrickable.com/sets/4000014-3/the-legoland-train-legoland-ambassador-pass-version/
70724-1,NinjaCopter,2014,435,516,https://cdn.rebrickable.com/media/sets/70724-1/11300.jpg,https://rebrickable.com/sets/70724-1/ninjacopter/
21116-1,Crafting Box,2014,577,518,https://cdn.rebrickable.com/media/sets/21116-1/11312.jpg,https://rebrickable.com/sets/21116-1/crafting-box/
21118-1,The Mine,2014,577,922,https://cdn.rebrickable.com/media/sets/21118-1/17474.jpg,https://rebrickable.com/sets/21118-1/the-mine/
42025-1,Cargo Plane,2014,1,1297,https://cdn.rebrickable.com/media/sets/42025-1/16169.jpg,https://rebrickable.com/sets/42025-1/cargo-plane/
70725-1,Nindroid MechDragon,2014,435,691,https://cdn.rebrickable.com/media/sets/70725-1/779.jpg,https://rebrickable.com/sets/70725-1/nindroid-mechdragon/
71006-1,The Simpsons House,2014,301,2547,https://cdn.rebrickable.com/media/sets/71006-1/16042.jpg,https://rebrickable.com/sets/71006-1/the-simpsons-house/
70133-1,Spinlyn's Cavern,2014,571,407,https://cdn.rebrickable.com/media/sets/70133-1/2489.jpg,https://rebrickable.com/sets/70133-1/spinlyns-cavern/
45800-1,FLL WORLD Class: Learning Unleashed Challenge Kit,2014,398,2098,https://cdn.rebrickable.com/media/sets/45800-1/8100.jpg,https://rebrickable.com/sets/45800-1/fll-world-class-learning-unleashed-challenge-kit/
75053-1,The Ghost,2014,158,929,https://cdn.rebrickable.com/media/sets/75053-1/2718.jpg,https://rebrickable.com/sets/75053-1/the-ghost/
42028-1,Bulldozer,2014,1,617,https://cdn.rebrickable.com/media/sets/42028-1/8135.jpg,https://rebrickable.com/sets/42028-1/bulldozer/
